model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",87.9775,0.088,0.18832827,88.2426,0.2541,0.0005,-0.0054,0.0178,0.0006,0.025,80.0616,49.8504,0.2541,0.2923,-0.0054,99.0328,19346.6956,139.0924,63.5438,44.2767
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",89.2062,0.0892,0.25192213,89.6133,0.2544,0.0005,0.0881,0.0158,0.0006,0.0238,69.6182,44.9993,0.2544,0.2469,0.0881,87.5635,17549.0201,132.4727,55.1864,39.7758
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",85.3981,0.0854,0.2348125,85.7091,0.2599,0.0004,0.139,0.0148,0.0005,0.0232,63.9342,42.5665,0.2599,0.2237,0.139,81.9621,16569.5269,128.7227,50.7177,37.5221
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",80.4808,0.0805,0.30642867,80.9548,0.2518,0.0005,0.0299,0.0171,0.0006,0.0246,76.2855,48.4079,0.2518,0.2787,0.0299,95.2086,18667.9804,136.6308,60.5799,42.9049
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",81.2058,0.0812,0.19426894,81.5164,0.2493,0.0005,0.0345,0.017,0.0006,0.0245,76.667,48.1034,0.2493,0.2765,0.0345,94.5268,18579.9333,136.3082,60.6652,42.657
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",82.1758,0.0822,0.28184819,82.618,0.239,0.0005,0.0998,0.0153,0.0006,0.0237,66.3261,43.6449,0.239,0.2352,0.0998,85.0691,17323.2503,131.6178,52.7063,38.5312
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",80.2642,0.0803,0.25153732,80.6541,0.2498,0.0005,0.0595,0.0164,0.0006,0.0242,71.2846,46.1896,0.2498,0.256,0.0595,90.9817,18098.6596,134.5313,56.7795,40.8786
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",83.3222,0.0833,0.21038795,83.6549,0.2219,0.0005,0.0099,0.017,0.0006,0.0248,76.7032,47.82,0.2219,0.2766,0.0099,94.432,19052.3961,138.0304,60.6529,42.4085
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",81.6154,0.0816,0.33912015,82.0458,0.2555,0.0005,0.0632,0.0163,0.0006,0.0242,71.4521,46.2662,0.2555,0.2557,0.0632,90.7923,18028.0917,134.2687,56.8831,40.9371
"CNN1-hs_(7, True)-ep_1000-bs_128-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse-dr_(0.2,)-fs_64-ks_2-ps_2",80.9103,0.0809,0.33388519,81.2879,0.2438,0.0005,0.0233,0.0173,0.0006,0.0247,77.5091,48.6906,0.2438,0.2811,0.0233,96.1882,18795.4969,137.0967,61.4149,43.206
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.2219,0.2237,-0.0054,81.9621,16569.5269,128.7227,50.7177,37.5221
,,,,,,,,,,,,max,0.2599,0.2923,0.139,99.0328,19346.6956,139.0924,63.5438,44.2767
,,,,,,,,,,,,mean,0.24795,0.26227,0.05418,91.57571,18201.10509,134.87717,57.91297,41.30979
,,,,,,,,,,,,std,0.010930208,0.022294247,0.04469245,5.362113481,859.5980301,3.206464536,4.147625231,2.17842419
,,,,,,,,,,,,cv,0.044082306,0.085004945,0.82488834,0.058553884,0.047227793,0.023773219,0.071618244,0.052733848
