model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12455.8854,12.4559,0.13740563,12456.9201,0.2586,0.0007,-0.2187,0.022,0.0008,0.0276,104.022,59.3144,0.2586,0.4056,-0.2187,122.3251,23451.9794,153.1404,82.0632,53.1671
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12846.1612,12.8462,0.10715866,12847.0099,0.0989,0.0007,-0.2316,0.0211,0.0008,0.0277,95.7284,56.6312,0.0989,0.4154,-0.2316,116.9694,23700.7229,153.9504,75.7137,50.697
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12823.4302,12.8234,0.11815405,12824.0489,0.2295,0.0005,-0.0088,0.0172,0.0006,0.0251,78.524,48.3821,0.2295,0.2838,-0.0088,95.4928,19413.6278,139.3328,62.0268,42.9269
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12522.019,12.522,0.07760286,12523.125,0.1884,0.0008,-0.4802,0.0251,0.0009,0.0304,121.6918,64.475,0.1884,0.4923,-0.4802,139.6666,28483.3916,168.7702,95.6796,58.1879
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12679.9402,12.6799,0.08782983,12680.8042,0.0085,0.0008,-0.4743,0.0233,0.0009,0.0303,113.3456,60.7792,0.0085,0.4504,-0.4743,129.396,28369.7497,168.4332,88.6326,54.6755
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12938.9526,12.939,0.09119725,12939.9965,0.1627,0.0007,-0.3765,0.0235,0.0009,0.0293,114.8503,61.737,0.1627,0.4567,-0.3765,130.7693,26488.5085,162.7529,89.9474,55.5731
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12442.1222,12.4421,0.08599353,12443.1106,0.2064,0.0005,0.0964,0.0144,0.0006,0.0237,61.9141,40.8451,0.2064,0.2177,0.0964,80.2128,17388.5663,131.8657,49.1447,36.0051
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12801.8605,12.8019,0.08688998,12802.9827,0.2214,0.0006,-0.119,0.0196,0.0007,0.0264,92.5204,53.964,0.2214,0.3466,-0.119,108.7803,21533.4828,146.7429,72.7568,48.1603
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12605.535,12.6055,0.09277654,12606.231,0.1934,0.0005,-0.0193,0.0184,0.0006,0.0252,86.3771,51.8708,0.1934,0.3192,-0.0193,102.4281,19614.6995,140.0525,67.4721,46.1879
"LCBO_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50",12311.0173,12.311,0.08482146,12311.9347,0.2292,0.0007,-0.239,0.0218,0.0008,0.0278,99.2276,58.0627,0.2292,0.3839,-0.239,121.2457,23841.6569,154.4074,78.862,52.0096
