model_name,total_time_train,time_epoch,time_predict,time_system,scaled_EV,scaled_MSLE,scaled_R2,scaled_MAE,scaled_MSE,scaled_RMSE,scaled_MAPE,scaled_SMAPE,unscaled_EV,unscaled_MSLE,unscaled_R2,unscaled_MAE,unscaled_MSE,unscaled_RMSE,unscaled_MAPE,unscaled_SMAPE
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",18135.6928,18.1357,0.11957073,18135.9835,0.4372,0.0105,0.4358,0.1028,0.0235,0.1533,54.2119,38.0781,0.4372,0.1682,0.4358,2.6559,15.6846,3.9604,52.2483,37.5488
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17769.2149,17.7692,0.10645127,17770.3245,0.4308,0.0105,0.4294,0.1034,0.0238,0.1542,57.6577,38.4718,0.4308,0.1727,0.4294,2.6697,15.8637,3.9829,55.4269,37.9467
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17617.727,17.6177,0.14406705,17618.5808,0.4112,0.0108,0.4103,0.1045,0.0246,0.1568,56.2217,38.5354,0.4112,0.1723,0.4103,2.7002,16.3955,4.0491,54.1462,38.006
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",18077.9127,18.0779,0.11759114,18079.0314,0.417,0.0107,0.4137,0.103,0.0244,0.1563,54.0072,38.0728,0.417,0.1694,0.4137,2.661,16.2994,4.0373,52.0361,37.5445
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17941.1383,17.9411,0.11263084,17942.3267,0.3976,0.011,0.3959,0.1046,0.0252,0.1587,57.8773,38.556,0.3976,0.1753,0.3959,2.7027,16.7947,4.0981,55.6173,38.0325
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17819.3284,17.8193,0.1261692,17820.1175,0.4057,0.0109,0.4039,0.104,0.0248,0.1576,55.7761,38.2294,0.4057,0.1702,0.4039,2.6857,16.5713,4.0708,53.6812,37.7029
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17415.4349,17.4154,0.17159605,17416.735,0.4173,0.0106,0.4149,0.1024,0.0244,0.1561,57.2473,38.1779,0.4173,0.1726,0.4149,2.646,16.2669,4.0332,55.0332,37.6553
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",17501.7794,17.5018,0.10891962,17502.9045,0.4188,0.0107,0.4187,0.1037,0.0242,0.1556,56.9709,38.1521,0.4188,0.1713,0.4187,2.6786,16.1613,4.0201,54.8277,37.6295
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",18102.0692,18.1021,0.12854195,18103.0737,0.4093,0.0108,0.4057,0.1027,0.0248,0.1574,55.4993,37.8678,0.4093,0.1699,0.4057,2.6524,16.5224,4.0648,53.3759,37.3468
"GA_CNN-hs_([7], True)-ac_('elu', 'elu')--fs_16-ks_2-ps_2--ep_1000-ps_50-pc_0.95-pm_0.025",16691.4863,16.6915,0.09075785,16692.5511,0.4125,0.0108,0.4123,0.1035,0.0245,0.1565,56.773,38.1296,0.4125,0.1737,0.4123,2.6721,16.3374,4.042,54.623,37.6082
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,min,0.3976,0.1682,0.3959,2.646,15.6846,3.9604,52.0361,37.3468
,,,,,,,,,,,,max,0.4372,0.1753,0.4358,2.7027,16.7947,4.0981,55.6173,38.0325
,,,,,,,,,,,,mean,0.41574,0.17156,0.41406,2.67243,16.28972,4.03587,54.10158,37.70212
,,,,,,,,,,,,std,0.011562218,0.002163433,0.011787206,0.019473061,0.327730288,0.040690759,1.252867877,0.224153746
,,,,,,,,,,,,cv,0.027811176,0.012610361,0.028467386,0.00728665,0.020118841,0.010082277,0.023157695,0.005945388
